"C1"	"C2"	"H2"	"H3"	"T1"	"T2"
"ENSG00000003436"	7.85284697980185	8.09200043681535	7.57957264869802	7.79031547319175	7.67782016914134	7.8101039525606
"ENSG00000003509"	8.667395052991	8.26566141270871	8.12896071021433	7.83906824160067	8.14923157535158	8.73317949222823
"ENSG00000003756"	12.0941703036316	11.8699341136603	11.2669987506554	11.356810833839	11.1134139298424	11.3839719815693
"ENSG00000004059"	11.0159657439014	11.1988493778905	11.787300814906	11.7739293726216	11.8216846317396	11.566686189734
"ENSG00000004139"	9.78110046830048	9.87663305918447	10.3073551076309	10.1715225231953	9.47413067551637	9.35710144888656
"ENSG00000004142"	10.3031437790379	10.3408288463203	11.2510632544529	11.0427881689528	10.9611596705374	10.3629756713833
"ENSG00000004399"	12.0699989484507	12.1068653683094	11.8447636204676	12.194146037172	12.2698005835267	11.6294481831896
"ENSG00000004455"	11.3245870875356	11.2111036507709	11.8477427631461	11.7172947073667	11.918764441718	11.2951363361321
"ENSG00000004468"	10.1159946748647	10.0677965805168	11.4737381328635	10.6968357096305	11.13322389806	11.0898548273412
"ENSG00000004478"	10.1695440856218	10.3589486571665	10.6669593964042	10.7559904347533	10.4210109710346	9.83326088900487
"ENSG00000004487"	10.2606824787899	10.4771493657268	10.8087777926552	10.5910380910198	10.5076723781616	10.0047016110846
"ENSG00000004534"	12.5591234442896	12.2677330293894	11.3394256410292	11.53220581372	11.1030589995325	11.9466082428539
"ENSG00000004660"	8.89988641479185	8.91493965281319	8.94705244952359	9.13365874236767	8.87962275475982	9.5954286326386
"ENSG00000004700"	10.6323505068943	10.4948792517793	9.34267111369895	10.2423856366058	10.3870997554667	10.785839566455
"ENSG00000004766"	9.20422887785293	9.3740246656669	8.15541576205088	8.77003019373782	8.89337308073191	9.0271899880936
"ENSG00000004777"	8.98359529942848	9.29884617669869	9.06731563604173	9.02263933938093	8.35099428576294	8.96639820696389
"ENSG00000004779"	9.37784791130677	9.27484015965384	9.85104689204205	9.83291659422698	9.72113053573411	9.32257135480202
"ENSG00000004799"	9.81675335817188	9.18723992089598	8.56245245008395	8.61961954402406	10.4109223867377	10.9607328832354
"ENSG00000004809"	7.64899817279431	8.29308289930714	7.44796161795264	7.38875657681301	8.18148750454325	7.87548846841365
"ENSG00000004838"	7.50626466601111	7.43104732903533	7.4995245904688	7.5657170262192	7.32845497618809	7.25757997948876
"ENSG00000004846"	7.51855076272437	7.50803382923314	7.42006582055731	7.35477142574821	7.28131752942828	7.43044827479225
"ENSG00000004864"	8.86019501952316	9.1140958419377	8.56603951488657	8.49693961534443	9.17474598535906	9.37163308229984
"ENSG00000004866"	8.667395052991	9.07241034815091	8.75755170133414	8.77324221946875	8.83386835297518	9.03031155507684
"ENSG00000004897"	10.2524481274962	10.2132047731528	9.65853695262599	9.79926363566673	10.4041566186714	10.6980771939631
"ENSG00000004939"	10.1977229305075	8.41458838319874	8.3628405070997	8.57510554650961	10.5643298624418	8.23399405496629
"ENSG00000004961"	9.10095382886341	8.96960163242507	9.24179915432538	9.18582824122304	9.41337376590272	9.19141940589527
"ENSG00000004975"	9.83354741968006	9.9226855069933	10.5623036622101	10.4931323164546	9.99400242432364	9.54547999614986
"ENSG00000005007"	11.713971252341	11.576744210265	12.4372712103336	12.0918790385777	11.2653444064644	11.7196534229991
"ENSG00000005020"	11.2593043195375	11.3854014189377	10.3073551076309	10.4358896589028	11.5073443588919	12.0238719585237
"ENSG00000005022"	11.8534012857363	11.9483029578525	12.6190193707059	12.3975491787089	12.1684212783991	12.2636490669865
"ENSG00000005059"	10.6204501272936	10.1899875332131	11.0934943672943	10.9772615276115	11.0313179576067	10.7717295877043
"ENSG00000005075"	9.86245831582904	10.0779716494085	10.5443621279999	10.4527473199234	10.3299067969454	10.0960435903126
"ENSG00000005100"	9.6807688136357	9.70669472127794	9.31914572218088	9.09437258867691	9.3278711710051	9.31254034443618
"ENSG00000005102"	7.91741325314741	7.43104732903533	8.02726429084277	7.75602519382681	8.20035750702994	7.19713729525353
"ENSG00000005108"	7.13750978959305	7.07327673649076	6.9271303132048	7.20375919209423	7.22668705664235	7.22889764453363
"ENSG00000005156"	10.1091556166889	10.1228703243607	9.89852424895228	9.90063428464001	10.340586047995	9.95984715150937
"ENSG00000005175"	9.73558011999863	9.18400178455414	8.66888903515889	9.39020086647112	9.57382880029858	9.57483742984993
"ENSG00000005187"	7.83778823254892	8.00569012557347	7.69655461305417	7.6422520701261	7.70039346640593	8.20292444860703
"ENSG00000005189"	7.59794576899977	7.62159922554634	7.77291458905771	7.6105775910895	7.86875444718452	7.78034789473628
"ENSG00000005194"	9.56751890674933	9.57249871067375	10.2878263699794	10.1783190821625	9.94164846762403	9.71851497917494
"ENSG00000005206"	10.6743878957357	10.8505632096048	10.9746902289642	11.009769347841	10.0790358687371	10.5161880016823
"ENSG00000005238"	10.7635947804841	10.6799129946304	10.6563777113701	10.7582463006617	11.1393165949563	11.5944197238326
"ENSG00000005243"	7.83015229032972	7.59126403839997	7.68754835444232	7.74720345055356	7.78422830498952	7.80031121788299
"ENSG00000005249"	11.9340701910238	12.795271964087	9.7523812517459	10.8062686982642	11.4111334373435	12.5565107632107
"ENSG00000005302"	10.7196879464891	10.3890952200839	9.8483612600443	10.0897092814491	10.808750295273	9.96141799982926
"ENSG00000005339"	12.5088654733422	12.7250769050645	13.1580436599333	12.7109698621808	12.4232587024155	13.0138864534229
"ENSG00000005379"	10.5552465711759	11.9483029578525	11.7378359558633	11.7813150233033	10.439873842248	10.603565868487
"ENSG00000005381"	9.5264348200069	8.63927567082258	10.232689797802	9.16709554500065	11.2977683941078	8.49861302660131
"ENSG00000005436"	8.80424015756534	9.01466767388947	8.76060239303493	8.88367888943874	8.59747264554154	8.97293435297635
"ENSG00000005448"	8.14251287140372	8.4444598329466	9.28306525930439	9.16473515226469	8.69760179867191	8.01599438733066
"ENSG00000005469"	8.73931519267913	8.82825624539819	8.11274008142164	8.11369400306572	8.4037451136213	8.36075220916768
"ENSG00000005471"	8.16394569526723	8.12445017107334	7.51167152051912	7.6105775910895	7.4928886479938	7.68325657116681
"ENSG00000005483"	12.240822108837	12.0178466038773	11.2298758015352	11.8514060506163	11.6097423834442	12.4826989799693
"ENSG00000005486"	9.94704490999141	9.95993647710192	11.0760632419068	10.6968357096305	10.6090658548276	10.3546851562041
"ENSG00000005513"	7.79885378059071	7.67833898169649	7.72290600219868	7.73827553361366	7.56554111009817	7.41231338145677
"ENSG00000005801"	8.78603543921931	8.41458838319874	8.40486384974956	8.75384339102191	8.49284209370236	8.85698448534945
"ENSG00000005810"	12.4711412745085	12.365338470728	10.9501938981238	11.6018800871976	12.0389127959252	12.5059582913817
