Gene_ID,C1,C2,H2,H3,external_gene_name
ENSG00000132635,10.02521043,9.911427269,10.02245918,10.45499877,PCED1A
ENSG00000132639,7.39697122,7.459630589,6.636491539,6.968562873,SNAP25
ENSG00000132640,7.470504116,8.328194025,6.538164247,7.037338845,BTBD3
ENSG00000132646,9.07006073,8.856176109,9.382270701,9.258877263,PCNA
ENSG00000132661,7.530601664,7.551075672,8.606715354,8.176013128,NXT1
ENSG00000132664,8.001499445,8.200495954,7.467161294,7.662641204,POLR3F
ENSG00000132669,9.655125734,9.296630816,8.702992651,9.014869353,RIN2
ENSG00000132670,10.67786033,11.0165416,11.68070554,11.39140799,PTPRA
ENSG00000132676,10.56543562,10.6291823,10.85729323,10.84967917,DAP3
ENSG00000132677,5.047926085,5.218515359,5.002312918,4.759218087,RHBG
ENSG00000132680,10.31872618,10.11739149,8.513427536,8.720811287,KHDC4
ENSG00000132681,6.334673215,6.501465061,5.093993946,5.637502261,ATP1A4
ENSG00000132688,4.398995776,4.398995776,4.749005772,4.759218087,NES
ENSG00000132692,4.398995776,4.398995776,4.398995776,4.759218087,BCAN
ENSG00000132694,11.25564804,10.70216138,10.39902237,10.4556782,ARHGEF11
ENSG00000132698,5.091915129,4.692146444,5.279796298,4.654041345,RAB25
ENSG00000132704,9.287788795,8.547022367,8.540359867,8.646399362,FCRL2
ENSG00000132716,11.75899403,11.82583799,11.58695941,11.40202044,DCAF8
ENSG00000132718,9.360441719,10.07474746,10.88231004,10.45091541,SYT11
ENSG00000132740,9.943032351,9.042602958,9.983850155,9.899850275,IGHMBP2
ENSG00000132744,5.687716246,6.002150888,5.626691712,5.748065454,ACY3
ENSG00000132746,4.398995776,4.398995776,4.646792922,4.839608709,ALDH3B2
ENSG00000132749,7.117187069,6.790829853,6.496660145,6.871101463,TESMIN
ENSG00000132763,7.000202306,6.825824316,6.1467635,6.828326845,MMACHC
ENSG00000132768,9.036325302,8.956229916,9.378214332,9.46339959,DPH2
ENSG00000132773,7.777328021,7.384991871,9.178067322,9.118177402,TOE1
ENSG00000132780,10.23357748,10.13992766,10.3829294,10.35219891,NASP
ENSG00000132781,8.881503284,8.7008205,9.393032144,9.200021526,MUTYH
ENSG00000132792,9.521412172,9.524526193,10.37887794,10.28420772,CTNNBL1
ENSG00000132793,5.208679755,5.67068966,5.79103393,5.196382951,LPIN3
ENSG00000132801,7.049586346,6.640897164,6.617406832,6.601510885,ZSWIM3
ENSG00000132819,10.94351072,11.01471408,12.86401757,12.32130734,RBM38
ENSG00000132821,5.000499946,4.812866393,4.749005772,4.907120989,VSTM2L
